"Authors","Author full names","Author(s) ID","Title","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Link","Abstract","Author Keywords","Index Keywords","Funding Details","Publisher","PubMed ID","EID"
"Maqsood S.; Damaševičius R.; Maskeliūnas R.","Maqsood, Sarmad (57212142651); Damaševičius, Robertas (6603451290); Maskeliūnas, Rytis (27467587600)","57212142651; 6603451290; 27467587600","TTCNN: A Breast Cancer Detection and Classification towards Computer-Aided Diagnosis Using Digital Mammography in Early Stages","12","7","3273","","","","10.3390/app12073273","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127380874&doi=10.3390%2fapp12073273&partnerID=40&md5=853c3ce2c58f2fc4f4d87679354d58a6","Breast cancer is a major research area in the medical image analysis field; it is a dangerous disease and a major cause of death among women. Early and accurate diagnosis of breast cancer based on digital mammograms can enhance disease detection accuracy. Medical imagery must be detected, segmented, and classified for computer-aided diagnosis (CAD) systems to help the radiologists for accurate diagnosis of breast lesions. Therefore, an accurate breast cancer detection and classification approach is proposed for screening of mammograms. In this paper, we present a deep learning system that can identify breast cancer in mammogram screening images using an “end-to-end” training strategy that efficiently uses mammography images for computer-aided breast cancer recognition in the early stages. First, the proposed approach implements the modified contrast enhancement method in order to refine the detail of edges from the source mammogram images. Next, the transferable texture convolutional neural network (TTCNN) is presented to enhance the performance of classification and the energy layer is integrated in this work to extract the texture features from the convolutional layer. The proposed approach consists of only three layers of convolution and one energy layer, rather than the pooling layer. In the third stage, we analyzed the performance of TTCNN based on deep features of convolutional neural network models (InceptionResNet-V2, Inception-V3, VGG-16, VGG-19, GoogLeNet, ResNet-18, ResNet-50, and ResNet-101). The deep features are extracted by determining the best layers which enhance the classification accuracy. In the fourth stage, by using the convolutional sparse image decomposition approach, all the extracted feature vectors are fused and, finally, the best features are selected by using the entropy controlled firefly method. The proposed approach employed on DDSM, INbreast, and MIAS datasets and attained the average accuracy of 97.49%. Our proposed transferable texture CNN-based method for classifying screening mammograms has outperformed prior methods. These findings demonstrate that automatic deep learning algorithms can be easily trained to achieve high accuracy in diverse mammography images, and can offer great potential to improve clinical tools to minimize false positive and false negative screening mammography results. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","biomedical image processing; breast cancer detection; computer aided diagnosis; deep learning; digital mammograms","","","MDPI","","2-s2.0-85127380874"
"Güler M.; Namlı E.","Güler, Mustafa (58984022900); Namlı, Ersin (55499104800)","58984022900; 55499104800","Brain Tumor Detection with Deep Learning Methods’ Classifier Optimization Using Medical Images","14","2","642","","","","10.3390/app14020642","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192528413&doi=10.3390%2fapp14020642&partnerID=40&md5=257d5f684d2698f674ea73f7946980ed","It is known that, with the development of artificial intelligence science in recent years, it has started to be used in all areas of life. Due to the increase in diseases that threaten human life, such as epidemics and cancer, more attention has been paid to research in this field. Especially in the field of biomedical image processing, very successful results have been obtained in recent years with the use of deep learning methods. For this study, MR images are utilized to diagnose brain tumors. To assist doctors and radiologists in automatic brain tumor diagnosis and to overcome the need for manual diagnosis, a brain MR image automated classification system is being developed. The data used in the study are open access data obtained from the Kaggle library. This paper presents a novel approach for classifying brain MR images utilizing a dataset of 7022 MR images. To give an unbiased evaluation of the dataset, it is divided into a 40% test and 60% training set. Respectively, VGG, ResNet, DenseNet and SqueezeNet architectures are trained and used for feature extraction from brain MRI images. In order to classify the extracted features, machine learning methods (Support Vector Machines, K-Nearest Neighbors, Naive Bayes, Decision Tree, Linear Regression Analysis) are applied first, then an ensemble learning method is applied and the best validation method is selected. In addition, parameter optimization is applied to the trained CNN algorithms. In order to develop the proposed methods, the Python software program was used in the training and testing phases of the models, and the classification success rates were mutually evaluated. Among the results found, it can see that the ResNet architecture reached 100% accuracy. The data obtained as a result of the study were compared with the results of similar studies. In conclusion, the techniques and methods applied highlight their effectiveness in accurately classifying brain MRI images and their potential to improve diagnostic capabilities. © 2024 by the authors.","brain tumor; classification; convolutional neural networks; deep learning; image processing","","Istanbul University-Cerrahpaşa Scientific Research Projects Coordination Unit, (35916)","Multidisciplinary Digital Publishing Institute (MDPI)","","2-s2.0-85192528413"
"Rabie K.; Karthik C.; Chowdhury S.; Dutta P.K.","Rabie, Khaled (55884933100); Karthik, Chandran (57226546597); Chowdhury, Subrata (57200565797); Dutta, Pushan Kumar (7202355384)","55884933100; 57226546597; 57200565797; 7202355384","Deep learning in medical image processing and analysis","","","","1","358","357","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178972591&partnerID=40&md5=f0ab8a9c4f6734e6ac2cd3e208a91804","Medical images, in various formats, are used by clinicians to identify abnormalities or markers associated with certain conditions, such as cancers, diseases, abnormalities or other adverse health conditions. Deep learning algorithms use vast volumes of data to train the computer to recognise certain features in the images that are associated with the disease or condition that you wish to identify. Whilst analysing the images by eye can take a lot of time, deep learning algorithms have the benefit of reviewing medical images at a faster rate than a human can, which aids the clinician, speeding up diagnoses and freeing up clinicians' time for other duties. Deep Learning in Medical Image Processing and Analysis introduces the fundamentals of deep learning for biomedical image analysis for applications including ophthalmology, cancer detection and heart disease. The book considers the principles of multi-instance feature selection, swarm optimisation, parallel processing models, artificial neural networks, support vector machines, as well as their design and optimisation, in biomedical applications. Topics such as data security, patient confidentiality, effectiveness and reliability will also be discussed. Written by an international team of experts, this edited book covers principles and applications for industry and academic researchers, scientists, engineers, developers, and designers in the fields of machine learning, deep learning, AI, image processing, signal processing, computer science or related fields. It will also be of interest to standards bodies and regulators, and clinicians using deep learning models. © The Institution of Engineering and Technology 2023. All rights reserved.","","","","Institution of Engineering and Technology","","2-s2.0-85178972591"
"Shin M.; Seo M.; Lee K.; Yoon K.","Shin, Minwoo (57222380433); Seo, Minjee (58778680400); Lee, Kyunghyun (58945415900); Yoon, Kyungho (57208559577)","57222380433; 58778680400; 58945415900; 57208559577","Super-resolution techniques for biomedical applications and challenges","14","3","","465","496","31","10.1007/s13534-024-00365-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188073218&doi=10.1007%2fs13534-024-00365-4&partnerID=40&md5=306ec4d8fff655a7829bfe31c2deec94","Super-resolution (SR) techniques have revolutionized the field of biomedical applications by detailing the structures at resolutions beyond the limits of imaging or measuring tools. These techniques have been applied in various biomedical applications, including microscopy, magnetic resonance imaging (MRI), computed tomography (CT), X-ray, electroencephalogram (EEG), ultrasound, etc. SR methods are categorized into two main types: traditional non-learning-based methods and modern learning-based approaches. In both applications, SR methodologies have been effectively utilized on biomedical images, enhancing the visualization of complex biological structures. Additionally, these methods have been employed on biomedical data, leading to improvements in computational precision and efficiency for biomedical simulations. The use of SR techniques has resulted in more detailed and accurate analyses in diagnostics and research, essential for early disease detection and treatment planning. However, challenges such as computational demands, data interpretation complexities, and the lack of unified high-quality data persist. The article emphasizes these issues, underscoring the need for ongoing development in SR technologies to further improve biomedical research and patient care outcomes. © Korean Society of Medical and Biological Engineering 2024.","Biomedical imaging; Biomedical simulation; CT; Deep learning; ECG; EEG; Elastography; Microscopy; MRI; MRS; PET; Spectrometry; Spectroscopy; Super-resolution; Thermography; Ultrasound; X-ray","Bioinformatics; Computational efficiency; Computerized tomography; Deep learning; Electroencephalography; Image enhancement; Medical applications; Medical imaging; Optical resolving power; Ultrasonic applications; bisoprolol fumarate; tracer; Biomedical applications; Biomedical imaging; Biomedical simulation; Computed tomography; Deep learning; Elastography; MRS; Resolution techniques; Superresolution; Thermography; artificial neural network; biomedical application; breast cancer; computer assisted tomography; convolutional neural network; deep learning; deep neural network; diagnostic procedure; elastography; electrocardiogram; electroencephalography; electromagnetic radiation; electromyography; electrophysiology; feature extraction; histology; human; image analysis; image processing; image quality; image reconstruction; image segmentation; learning algorithm; machine learning; mass spectrometry; medical technology; microbubble; microscopy; molecular imaging; morphology; myography; neuroimaging; neurologic disease; nuclear magnetic resonance imaging; nuclear magnetic resonance spectroscopy; particle image velocimetry; positron emission tomography; proteomics; Review; scanning electron microscopy; signal noise ratio; signal processing; single molecule force spectroscopy; stimulated emission depletion microscopy; structured illumination microscopy; super-resolution technique; thermography; three-dimensional imaging; transmission electron microscopy; ultrasound; viscoelasticity; X ray; Magnetic resonance imaging","National Research Foundation of Korea, NRF; Ministry of Science, ICT and Future Planning, MSIP, (RS-2023-00220762); Ministry of Science, ICT and Future Planning, MSIP; Yonsei University Research Fund, (2023-12-0018)","Springer Verlag","","2-s2.0-85188073218"
"Choi S.J.; Kim D.K.; Kim B.S.; Cho M.; Jeong J.; Jo Y.H.; Song K.J.; Kim Y.J.; Kim S.","Choi, Seung Jae (58032704200); Kim, Dae Kon (57216822391); Kim, Byeong Soo (57365979400); Cho, Minwoo (56783471200); Jeong, Joo (39061606100); Jo, You Hwan (25822597600); Song, Kyoung Jun (57037616400); Kim, Yu Jin (56658847500); Kim, Sungwan (27169083000)","58032704200; 57216822391; 57365979400; 56783471200; 39061606100; 25822597600; 57037616400; 56658847500; 27169083000","Mask R-CNN based multiclass segmentation model for endotracheal intubation using video laryngoscope","9","","","","","","10.1177/20552076231211547","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176430215&doi=10.1177%2f20552076231211547&partnerID=40&md5=98a109508f241780296a9ddba0a8b5f8","Objective: Endotracheal intubation (ETI) is critical to secure the airway in emergent situations. Although artificial intelligence algorithms are frequently used to analyze medical images, their application to evaluating intraoral structures based on images captured during emergent ETI remains limited. The aim of this study is to develop an artificial intelligence model for segmenting structures in the oral cavity using video laryngoscope (VL) images. Methods: From 54 VL videos, clinicians manually labeled images that include motion blur, foggy vision, blood, mucus, and vomitus. Anatomical structures of interest included the tongue, epiglottis, vocal cord, and corniculate cartilage. EfficientNet-B5 with DeepLabv3+, EffecientNet-B5 with U-Net, and Configured Mask R-Convolution Neural Network (CNN) were used; EffecientNet-B5 was pretrained on ImageNet. Dice similarity coefficient (DSC) was used to measure the segmentation performance of the model. Accuracy, recall, specificity, and F1 score were used to evaluate the model's performance in targeting the structure from the value of the intersection over union between the ground truth and prediction mask. Results: The DSC of tongue, epiglottis, vocal cord, and corniculate cartilage obtained from the EfficientNet-B5 with DeepLabv3+, EfficientNet-B5 with U-Net, and Configured Mask R-CNN model were 0.3351/0.7675/0.766/0.6539, 0.0/0.7581/0.7395/0.6906, and 0.1167/0.7677/0.7207/0.57, respectively. Furthermore, the processing speeds (frames per second) of the three models stood at 3, 24, and 32, respectively. Conclusions: The algorithm developed in this study can assist medical providers performing ETI in emergent situations. © The Author(s) 2023.","Biomedical image processing; convolutional neural networks; deep learning; image segmentation; intubation","","National Research Foundation of Korea, NRF, (2021R1C1C101035213)","SAGE Publications Inc.","","2-s2.0-85176430215"
"Parihar S.; Kukker A.; Dhar S.; Amitabh V.; Singh V.; Krishna V.","Parihar, Sushma (57211908398); Kukker, Amit (57200143782); Dhar, Supriyo (58765446700); Amitabh, Varun (58765639800); Singh, Varun (58830446400); Krishna, Vamsi (59267164900)","57211908398; 57200143782; 58765446700; 58765639800; 58830446400; 59267164900","Biomedical Image Classification using Deep Reinforcement Learning","","","","","","","10.1109/ICAECT60202.2024.10468733","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190115796&doi=10.1109%2fICAECT60202.2024.10468733&partnerID=40&md5=c62b01c01c27c8eb54bdf91b6d5b771f","The amalgamated tool of two renowned tools deep learning and reinforcement learning is a powerful representation for deep neural networks that improves the basic reinforcement learning framework. With the use of deep learning's representational power, it learns from the agent's activities on how to increase the expected reward. Recent work has shown a lot of success of deep reinforcement learning in different domains such as video games, robotics, finance, medical and computer vision. In this project, various DRL models and methods for planning medical image analysis are discussed. This study covers the fundamentals of reinforcement learning. DRL algorithms can address the problems with limited and inconsistent annotated medical imaging data, which has been a major obstacle to the implementation of deep learning models in clinical settings. DRL algorithms support these models for the reward function, interactions between agents, and the environment. There has been an extensive amount of research being done in this area, and it has the potential to enhance the utilisation of deep learning in medical imaging.  © 2024 IEEE.","Convolutional neural network; Deep learning; Machine learning; Reinforcement learning","Computer games; Convolutional neural networks; Deep neural networks; Image classification; Learning systems; Medical imaging; Medical problems; Agent activities; Biomedical images; Convolutional neural network; Deep learning; Images classification; Learn+; Learning frameworks; Machine-learning; Power; Reinforcement learnings; Reinforcement learning","","Institute of Electrical and Electronics Engineers Inc.","","2-s2.0-85190115796"
"Manoharan T.; Velvizhi R.; Juluru T.K.; Kamal S.; Mallick S.; Puliyanjalil E.","Manoharan, Thiyagarajan (58995607200); Velvizhi, Ramalingam (57210977000); Juluru, Tarun Kumar (57218311197); Kamal, Shoaib (57188986928); Mallick, Shrabani (56366477500); Puliyanjalil, Ezudheen (58892168300)","58995607200; 57210977000; 57218311197; 57188986928; 56366477500; 58892168300","Biomedical image classification using seagull optimization with deep learning for colon and lung cancer diagnosis","35","3","","1670","1679","9","10.11591/ijeecs.v35.i3.pp1670-1679","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197930832&doi=10.11591%2fijeecs.v35.i3.pp1670-1679&partnerID=40&md5=e3c3c8ff19fafe4934af0c4c72184408","Traditional health care relies on biomedical image categorization to identify and treat various medical conditions. In machine learning and medical imaging, biomedical image classification for colon and lung cancer diagnosis is significant. The work focuses on building novel models and algorithms to accurately detect and categorize tumorous lesions using computer tomography (CT) scans and histopathology slides. These systems use image processing, deep learning (DL), and convolutional neural networks (CNN) to assist medical professionals diagnose cancer sooner and improve patient outcomes. Biomedical image classification using seagull optimization with deep learning (BIC-SGODL) addresses colon and lung cancer diagnosis. The BIC-SGODL method improves cancer diagnosis using hyperparameter optimized DL model. BIC-SGODL utilizes DenseNet to learn complicated features. The convolutional long short-term memory (CLSTM) standard captures spatiotemporal information in sequential picture data. Finally, the SGO method adjusts hyperparameters to improve model performance and generalization. BIC-SGODL performs well with biomedical image dataset simulations. Thus, medical picture cancer diagnosis may be automated using BIC-SGODL. © 2024 Institute of Advanced Engineering and Science. All rights reserved.","Deep learning; Magnetic resonance imaging; Medical imaging; Seagull optimization algorithm; X-ray","","","Institute of Advanced Engineering and Science","","2-s2.0-85197930832"
"","","","30th International Conference on Neural Information Processing, ICONIP 2023","14447 LNCS","","","","","3459","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182011176&partnerID=40&md5=895edbcfa16594160d146efaa02e87d0","The proceedings contain 256 papers. The special focus in this conference is on Neural Information Processing. The topics include: RPUC: Semi-supervised 3D Biomedical Image Segmentation Through Rectified Pyramid Unsupervised Consistency; a Causality-Based Interpretable Cognitive Diagnosis Model; a Deep Learning Framework with Pruning RoI Proposal for Dental Caries Detection in Panoramic X-ray Images; ensemble of Randomized Neural Network and Boosted Trees for Eye-Tracking-Based Driver Situation Awareness Recognition and Interpretation; task Scheduling with Improved Particle Swarm Optimization in Cloud Data Center; Naturalistic Emotion Recognition Using EEG and Eye Movements; A DNN-Based Learning Framework for Continuous Movements Segmentation; RPF3D: Range-Pillar Feature Deep Fusion 3D Detector for Autonomous Driving; CMCI: A Robust Multimodal Fusion Method for Spiking Neural Networks; neighborhood Learning for Artificial Bee Colony Algorithm: A Mini-survey; channel Attention Separable Convolution Network for Skin Lesion Segmentation; correlated Online k-Nearest Neighbors Regressor Chain for Online Multi-output Regression; neural-Symbolic Recommendation with Graph-Enhanced Information; evolutionary Computation for Berth Allocation Problems: A Survey; user Stance Aware Network for Rumor Detection Using Semantic Relation Inference and Temporal Graph Convolution; multi-task Learning Network for Automatic Pancreatic Tumor Segmentation and Classification with Inter-Network Channel Feature Fusion; Fast and Efficient Brain Extraction with Recursive MLP Based 3D UNet; privacy-Preserving Travel Time Prediction for Internet of Vehicles: A Crowdsensing and Federated Learning Approach; block-Matching Multi-pedestrian Tracking; An Improved Target Searching and Imaging Method for CSAR; RMPE:Reducing Residual Membrane Potential Error for Enabling High-Accuracy and Ultra-low-latency Spiking Neural Networks; A Fine-Grained Domain Adaptation Method for Cross-Session Vigilance Estimation in SSVEP-Based BCI; a Hip-Knee Joint Coordination Evaluation System in Hemiplegic Individuals Based on Cyclogram Analysis; domain-Invariant Task Optimization for Cross-domain Recommendation; FLDNet: A Foreground-Aware Network for Polyp Segmentation Leveraging Long-Distance Dependencies; contrastive Hierarchical Gating Networks for Rating Prediction; preface.","","","","Springer Science and Business Media Deutschland GmbH","","2-s2.0-85182011176"
"Ajai A.K.; Anitha A.","Ajai, Ajni K. (57191488323); Anitha, A. (57211773955)","57191488323; 57211773955","Clustering based lung lobe segmentation and optimization based lung cancer classification using CT images","78","","103986","","","","10.1016/j.bspc.2022.103986","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134694723&doi=10.1016%2fj.bspc.2022.103986&partnerID=40&md5=34c52ed65431eba6e3d0a5b112132750","A serious condition with a high death and morbidity rate worldwide is lung cancer. To increase the likelihood that a person will survive, early diagnosis is urgently required. Various existing approaches are modeled to detect lung cancer, but low visibility of tumor region and the negative rates of images still result a complex task to recognize infected regions. Also, the traditional methods failed to enhance the accuracy of the lung cancer classification. Hence, this research developed a method named Shuffled Social Sky Optimizer-based Multi-Object Rectified Attention Network (SSSO-based MORAN) to effectively classify lung cancer disease. The proposed SSSO algorithm is the integration of the Shuffled Shepherd Optimization Algorithm (SSOA) and social ski-driver (SSD) algorithm, respectively. The input computed tomography (CT) image is supplied to the pre-processing phase, where the Gaussian filtering is employed to pre-process the image, and thereby the Region of Interest (ROI) is acquired from the input image. Then, the lung lobes are segmented using the proposed Deep Renyi entropy fuzzy clustering (DREFC). With the segmented lung lobes, the nodule region is identified from the lung image, and the process of cancer classification is done based on features. The features considered for the lung cancer classification are Local Gabor XOR Pattern (LGXP), Gray-Level Co-occurrence Matrix (GLCM) features, Global Binary Pattern (GBP), Tetrolet transform, and statistical features. The proposed algorithm effectively showed higher performance of accuracy, Mean Absolute Error (MAE), sensitivity, and specificity of 0.896, 0.104, 0.8969, and 0.845, respectively. © 2022","Biomedical image processing; Deep learning; Diagnosis system; Lung cancer; Lung lobe segmentation","Biological organs; Classification (of information); Computer aided diagnosis; Computerized tomography; Deep learning; Image classification; Image segmentation; Local binary pattern; Cancer classification; Clusterings; Computed tomography images; Condition; Deep learning; Diagnose system; Early diagnosis; Lung Cancer; Lung lobe segmentations; Optimisations; Article; attention network; cancer classification; clustering algorithm; comparative study; computer assisted tomography; contrast enhancement; deep renyi entropy fuzzy clustering; diagnostic accuracy; feasibility study; feature extraction; fuzzy c means clustering; fuzzy clustering; global binary pattern; gray level co occurrence matrix; human; human tissue; image processing; image segmentation; kernel method; local gabor xor pattern; lung cancer; lung lobe; lung nodule; lung parenchyma; mean absolute error; multi object rectified attention network; recurrent neural network; sensitivity and specificity; shuffled shepherd optimization algorithm; shuffled social sky optimizer; social ski driver algorithm; tetrolet transform; Diseases","","Elsevier Ltd","","2-s2.0-85134694723"
"McConnell N.; Ndipenoch N.; Cao Y.; Miron A.; Li Y.","McConnell, Niccolò (57472609800); Ndipenoch, Nchongmaje (58064883400); Cao, Yu (58730971100); Miron, Alina (57214473917); Li, Yongmin (56717319800)","57472609800; 58064883400; 58730971100; 57214473917; 56717319800","Exploring advanced architectural variations of nnUNet","560","","126837","","","","10.1016/j.neucom.2023.126837","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173447520&doi=10.1016%2fj.neucom.2023.126837&partnerID=40&md5=fd1e645613616dfe30af7bdec3983364","The nnUNet is a state-of-the-art deep learning based segmentation framework which automatically and systematically configures the entire network training pipeline. We extend the network architecture component of the nnUNet framework by newly integrating mechanisms from advanced U-Net variations including residual, dense, and inception blocks as well as three forms of the attention mechanism. We propose the following extensions to nnUNet, namely Residual-nnUNet, Dense-nnUNet, Inception-nnUNet, Spatial-Single-Attention-nnUNet, Spatial- Multi-Attention-nnUNet, and Channel-Spatial-Attention-nnUNet. Furthermore, within Channel-Spatial- Attention-nnUNet we integrate our newly proposed variation of the channel-attention mechanism. We demonstrate that use of the nnUNet allows for consistent and transparent comparison of U-Net architectural modifications, while maintaining network architecture as the sole independent variable across experiments with respect to a dataset. The proposed variants are evaluated on eight medical imaging datasets consisting of 20 anatomical regions which is the largest collection of datasets on which attention U-Net variants have been compared in a single work. Our results suggest that attention variants are effective at improving performance when applied to tumour segmentation tasks consisting of two or more target anatomical regions, and that segmentation performance is influenced by use of the deep supervision architectural feature. © 2023 Elsevier B.V.","Attention; Biomedical image segmentation; Dense; Inception; nnUnet; Residual","Deep learning; Image segmentation; Medical imaging; Anatomical regions; Attention; Attention mechanisms; Biomedical image segmentation; Dense; Inception; Nnunet; Residual; Spatial attention; State of the art; Article; artificial neural network; automation; deep learning; image analysis; image processing; information processing; mathematical model; segmentation algorithm; Network architecture","","Elsevier B.V.","","2-s2.0-85173447520"
"Chen H.; Gao J.; Zhao D.; Wang H.; Song H.; Su Q.","Chen, Hongyang (57935194000); Gao, Jingyang (55995325700); Zhao, Di (56701350400); Wang, Hongzhi (57193402519); Song, Hong (7404037613); Su, Qinghua (50362000500)","57935194000; 55995325700; 56701350400; 57193402519; 7404037613; 50362000500","Review of the research progress in deep learning and biomedical image analysis till 2020; [深度学习与生物医学图像分析2020年综述]","26","3","","475","486","11","10.11834/jig.200351","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104664544&doi=10.11834%2fjig.200351&partnerID=40&md5=c4631c28d4b66b831314279da402a26f","Medical big data mainly include electronic health record data, such as medical imaging data and genetic information data, among which medical imaging data takes up the most of medical data currently. One of the problems that researchers in computer science are greatly concerned about is how to apply medical big data in clinical practice.Artificial intelligence (AI) provides a good way to address this problem. AI algorithms, particularly deep learning, have demonstrated remarkable progress in image-recognition tasks. Historically, in radiology practice, trained physicians visually assess medical images for the detection, characterization, and monitoring of diseases. AI methods excel at automatically recognizing complex patterns in imaging data and providing quantitative, rather than qualitative, assessments of radiographic characteristics. Methods ranging from convolutional neural networks to variational autoencoders have found myriad applications in the medical image analysis field, propelling it forward at a rapid pace. In this review, by combining recent work and the latest research progress of big data analysis of medical images until 2020, we have summarized the theory, main process, and evaluation results of multiple deep learning algorithms in some fields of medical image analysis, including magnetic resonance imaging (MRI), pathology imaging, ultrasound imaging, electrical signals, digital radiography, molybdenum target, and diabetic eye imaging, using deep learning. MRI is one of the main research areas of medical image analysis. The existing research literature includes Alzheimer's disease MRI, Parkinson's disease MRI, brain tumor MRI, prostate cancer MRI, and cardiac MRI. MRI is also divided into two-dimensional and three-dimensional image analysis, especially for three-dimensional data, where insufficient data volume leads to problems such as overfitting, large calculations, and slow training. Medical ultrasound (also known as diagnostic sonography or ultrasonography) is a diagnostic imaging technique or therapeutic application of ultrasound. It is used to create an image of internal body structures such as tendons, muscles, joints, blood vessels, and internal organs. It aims to find the source of a disease or to exclude pathology. The practice of examining pregnant women using ultrasound is called obstetric ultrasonography and was an early development and application of clinical ultrasonography. Ultrasonography uses sound waves with higher frequencies than those audible to humans (>20 000 Hz). Ultrasonic images, also known as sonograms, are made by sending ultrasound pulses into the tissue using a probe. The ultrasound pulses echo off tissues with different reflection properties and are recorded and displayed as an image. Many different types of images can be formed. The most common is a B-mode image (brightness), which displays the acoustic impedance of a two-dimensional cross-section of a tissue. Other types can display blood flow, tissue motion over time, the location of blood, the presence of specific molecules, the stiffness of a tissue, or the anatomy of a three-dimensional region. Pathology is the gold standard for diagnosing some diseases, especially digital image of pathology.We specifically discuss AI combined with digital pathology images for diagnosis. Electroencephalography (EEG) is an electrophysiological monitoring method to record the electrical activity of the brain. It is typically noninvasive, with the electrodes placed along the scalp. However, invasive electrodes are sometimes used, for example in electrocorticography, sometimes called intracranial EEG. EEG is most often used to diagnose epilepsy, which causes abnormalities in EEG readings. It is also used to diagnose sleep disorders, depth of anesthesia, coma, encephalopathies, and brain death. EEG used to be a first-line method of diagnosis for tumors, stroke, and other focal brain disorders, but its use has decreased with the advent of high-resolution anatomical imaging techniques such as MRI and computed tomography (CT). Despite limited spatial resolution, EEG continues to be a valuable tool for research and diagnosis. It is one of the few mobile techniques available and offers millisecond-range temporal resolution, which is not possible with CT, positron emission tomography (PET), or MRI. Electrocardiography(ECG or EKG) is the process of producing an electrocardiogram. It is a graph of voltage versus time of the electrical activity of the heart using electrodes placed on the skin. These electrodes detect small electrical changes that are a consequence of cardiac muscle depolarization followed by repolarization during each cardiac cycle (heartbeat). Changes in the normal ECG pattern occur in numerous cardiac abnormalities, including cardiac rhythm disturbances (e.g., atrial fibrillation and ventricular tachycardia), inadequate coronary artery blood flow (e.g., myocardial ischemia and myocardial infarction), and electrolyte disturbances (e.g., hypokalemia and hyperkalemia).We analyzed the advantages and disadvantages of existing algorithms and the important and difficult points in the field of medical imaging, and introduced the application of intelligent imaging and deep learning in the field of big data analysis and early disease diagnosis. The current algorithms in the field of medical imaging have made considerable progress, but there is still a lot of room for development. We also focus on the optimization and improvement of different algorithms in different sub-fields under a variety of segmentation and classification indicators (e.g., Dice, IoU, accuracy and recall rate), and we look forward to the future development hotspots in this field. Deep learning has developed rapidly in the field of medical imaging and has broad prospects for development. It plays an important role in the early diagnosis of diseases. It can effectively improve the work efficiency of doctors and reduce their burden. Moreover, it has important theoretical research and practical application value. © 2021, Editorial Office of Journal of Image and Graphics. All right reserved.","Deep learning; Magnetic resonance imaging(MRI); Pathology; Review; Target segmentation; Ultrasound","","","Editorial and Publishing Board of JIG","","2-s2.0-85104664544"
"Gadosey P.K.; Li Y.; Agyekum E.A.; Zhang T.; Liu Z.; Yamak P.T.; Essaf F.","Gadosey, Pius Kwao (57201334954); Li, Yujian (26642995500); Agyekum, Enock Adjei (57215589307); Zhang, Ting (57198705645); Liu, Zhaoying (55672356900); Yamak, Peter T. (57208780170); Essaf, Firdaous (57212878980)","57201334954; 26642995500; 57215589307; 57198705645; 55672356900; 57208780170; 57212878980","SD-UNET: Stripping down U-net for segmentation of biomedical images on platforms with low computational budgets","10","2","110","","","","10.3390/diagnostics10020110","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081253571&doi=10.3390%2fdiagnostics10020110&partnerID=40&md5=a971286937330d8ec35aa6a56c47e524","During image segmentation tasks in computer vision, achieving high accuracy performance while requiring fewer computations and faster inference is a big challenge. This is especially important in medical imaging tasks but one metric is usually compromised for the other. To address this problem, this paper presents an extremely fast, small and computationally effective deep neural network called Stripped-Down UNet (SD-UNet), designed for the segmentation of biomedical data on devices with limited computational resources. By making use of depthwise separable convolutions in the entire network, we design a lightweight deep convolutional neural network architecture inspired by the widely adapted U-Net model. In order to recover the expected performance degradation in the process, we introduce a weight standardization algorithm with the group normalization method. We demonstrate that SD-UNet has three major advantages including: (i) smaller model size (23x smaller than U-Net); (ii) 8x fewer parameters; and (iii) faster inference time with a computational complexity lower than 8M floating point operations (FLOPs). Experiments on the benchmark dataset of the Internatioanl Symposium on Biomedical Imaging (ISBI) challenge for segmentation of neuronal structures in electron microscopic (EM) stacks and the Medical Segmentation Decathlon (MSD) challenge brain tumor segmentation (BRATs) dataset show that the proposed model achieves comparable and sometimes better results compared to the current state-of-the-art. © 2020 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (http://creativecommons.org/licenses/by/4.0/).","Biomedical image segmentation; Computer vision; Depthwise separable convolutions; Group normalization; Weight standardization","algorithm; Article; brain tumor; computer vision; convolutional neural network; deep learning; deep neural network; diagnostic imaging; electron microscopy; image analysis; image segmentation; nerve cell; stripped down unet; structure analysis; u net; weight","Chaoyang Postdoctoral Foundation of Beijing, (2019zz-35); National Natural Science Foundation of China, NSFC, (61806013, 61876010, 61906005)","Multidisciplinary Digital Publishing Institute (MDPI)","","2-s2.0-85081253571"
